,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-4,10,16,2115.0,2107.4667638483966,30.13294460641373,0.003561813783264034,2021-07-01 10:05:00,2021-07-01 10:35:00,0 days 00:30:00
1,-4,17,26,2108.75,2112.805679343467,-16.222717373868363,-0.0019232622849874037,2021-07-01 10:40:00,2021-07-01 11:25:00,0 days 00:45:00
2,-4,27,49,2110.0,2113.625599803159,-14.502399212635282,-0.001718293745572863,2021-07-01 11:30:00,2021-07-01 13:20:00,0 days 01:50:00
3,4,51,55,2112.95,2109.7813373913705,-12.674650434517389,-0.0014996391815373933,2021-07-01 13:30:00,2021-07-01 13:50:00,0 days 00:20:00
4,-4,56,63,2110.0,2105.9704938021623,16.118024791350763,0.0019097185771742575,2021-07-01 13:55:00,2021-07-01 14:30:00,0 days 00:35:00
5,-4,64,65,2105.25,2101.2286118702123,16.08555251915095,0.001910171300219754,2021-07-01 14:35:00,2021-07-01 14:40:00,0 days 00:05:00
6,-4,66,68,2104.4,2099.788367904646,18.44652838141701,0.002191423729022146,2021-07-01 14:45:00,2021-07-01 14:55:00,0 days 00:10:00
7,-4,69,75,2099.1,2102.8761370895945,-15.104548358378452,-0.0017989314894928388,2021-07-01 15:00:00,2021-07-02 09:15:00,0 days 18:15:00
8,4,77,111,2111.7,2121.476838454756,39.107353819024866,0.004629842522496652,2021-07-02 09:25:00,2021-07-02 12:15:00,0 days 02:50:00
9,4,112,120,2120.35,2124.9298957808546,18.31958312341885,0.0021599715994315982,2021-07-02 12:20:00,2021-07-02 13:00:00,0 days 00:40:00
10,4,121,121,2126.25,2123.264745510174,-11.94101795930328,-0.0014039997600592269,2021-07-02 13:05:00,2021-07-02 13:05:00,0 days 00:00:00
11,4,122,129,2125.05,2121.4197818658636,-14.520872536546449,-0.001708297750234844,2021-07-02 13:10:00,2021-07-02 13:45:00,0 days 00:35:00
12,4,134,148,2124.4,2130.462800762805,24.25120305121891,0.0028538885157243232,2021-07-02 14:10:00,2021-07-02 15:20:00,0 days 01:10:00
13,4,149,150,2132.0,2138.2425117075813,24.970046830325373,0.002928007367533514,2021-07-02 15:25:00,2021-07-05 09:15:00,2 days 17:50:00
14,4,151,152,2141.35,2136.11040242894,-20.958390284240522,-0.002446866495930178,2021-07-05 09:20:00,2021-07-05 09:25:00,0 days 00:05:00
15,4,155,159,2141.25,2136.0586303823015,-20.765478470793823,-0.002424457498049537,2021-07-05 09:40:00,2021-07-05 10:00:00,0 days 00:20:00
16,-4,161,166,2138.0,2142.477281412365,-17.909125649459384,-0.0020941447204700925,2021-07-05 10:10:00,2021-07-05 10:35:00,0 days 00:25:00
17,4,167,168,2142.15,2147.580718003238,21.722872012951484,0.0025351716748303055,2021-07-05 10:40:00,2021-07-05 10:45:00,0 days 00:05:00
