Count,Date,Open,High,Low,Close,Volume
0,2020-08-03 09:15:00,960.0,962.65,953.15,953.25,285893
1,2020-08-03 09:20:00,953.1,958.0,953.1,957.9,148925
2,2020-08-03 09:25:00,958.35,959.3,955.1,957.9,134932
3,2020-08-03 09:30:00,957.9,963.8,957.65,962.8,185368
4,2020-08-03 09:35:00,962.8,962.8,958.0,958.8,118591
5,2020-08-03 09:40:00,959.25,959.3,956.1,957.55,118183
6,2020-08-03 09:45:00,957.6,958.45,956.0,956.8,74498
7,2020-08-03 09:50:00,956.85,957.45,955.55,955.8,104157
8,2020-08-03 09:55:00,955.75,958.0,955.0,956.9,295453
9,2020-08-03 10:00:00,956.65,957.45,952.1,953.65,212923
10,2020-08-03 10:05:00,953.3,954.3,953.0,953.5,67563
11,2020-08-03 10:10:00,953.6,953.65,951.2,951.5,103544
12,2020-08-03 10:15:00,951.9,954.0,951.7,952.4,100398
13,2020-08-03 10:20:00,952.4,955.5,952.2,955.5,65253
14,2020-08-03 10:25:00,955.45,956.85,954.05,955.55,116494
15,2020-08-03 10:30:00,955.7,956.1,952.6,952.95,107457
16,2020-08-03 10:35:00,952.95,953.4,950.3,951.1,144807
17,2020-08-03 10:40:00,951.1,952.9,951.0,952.4,56489
18,2020-08-03 10:45:00,952.4,953.9,952.15,952.8,61355
19,2020-08-03 10:50:00,952.9,953.7,952.6,952.95,41158
20,2020-08-03 10:55:00,952.9,953.1,952.3,952.5,59000
21,2020-08-03 11:00:00,952.55,952.55,951.5,951.95,72623
22,2020-08-03 11:05:00,951.85,953.0,951.6,952.9,78798
23,2020-08-03 11:10:00,952.9,952.95,952.5,952.75,36263
24,2020-08-03 11:15:00,952.75,954.0,952.65,952.95,112015
25,2020-08-03 11:20:00,953.0,953.05,951.5,951.9,74417
26,2020-08-03 11:25:00,951.9,952.7,951.35,952.25,60072
27,2020-08-03 11:30:00,952.25,953.0,952.0,953.0,39972
28,2020-08-03 11:35:00,953.0,953.0,951.65,952.2,46894
29,2020-08-03 11:40:00,952.3,953.4,952.05,953.4,79699
30,2020-08-03 11:45:00,953.35,953.4,951.7,951.9,89852
31,2020-08-03 11:50:00,951.9,952.0,951.6,952.0,57198
32,2020-08-03 11:55:00,951.9,952.05,950.9,952.05,103603
33,2020-08-03 12:00:00,951.95,953.0,951.65,952.75,54071
34,2020-08-03 12:05:00,952.75,953.0,952.2,952.6,63559
35,2020-08-03 12:10:00,952.55,952.85,951.0,951.25,57651
36,2020-08-03 12:15:00,951.25,952.0,951.05,951.9,40255
37,2020-08-03 12:20:00,951.9,951.9,949.1,949.85,177560
38,2020-08-03 12:25:00,949.85,951.3,948.4,950.35,110052
39,2020-08-03 12:30:00,950.05,952.05,950.05,950.85,253864
40,2020-08-03 12:35:00,951.45,951.5,950.15,950.8,52659
41,2020-08-03 12:40:00,950.9,951.0,950.05,950.55,158473
42,2020-08-03 12:45:00,950.45,951.95,950.0,951.85,74491
43,2020-08-03 12:50:00,951.9,953.0,951.6,952.6,83049
44,2020-08-03 12:55:00,952.6,952.6,950.85,950.85,46566
45,2020-08-03 13:00:00,951.0,952.2,950.2,951.55,58675
46,2020-08-03 13:05:00,951.55,952.95,951.1,952.85,69798
47,2020-08-03 13:10:00,952.95,954.9,952.25,954.4,194663
48,2020-08-03 13:15:00,954.35,954.35,952.0,952.5,60621
49,2020-08-03 13:20:00,952.5,953.0,952.1,952.75,43379
50,2020-08-03 13:25:00,952.75,952.75,951.0,951.6,61122
51,2020-08-03 13:30:00,952.0,952.0,950.6,950.9,61829
52,2020-08-03 13:35:00,950.8,951.9,950.5,951.4,60870
53,2020-08-03 13:40:00,951.85,951.9,950.8,951.8,42735
54,2020-08-03 13:45:00,951.8,952.0,950.05,950.6,83800
55,2020-08-03 13:50:00,950.8,951.5,950.5,951.45,36692
56,2020-08-03 13:55:00,951.45,951.45,950.05,950.45,51613
57,2020-08-03 14:00:00,950.45,950.95,949.0,949.35,75957
58,2020-08-03 14:05:00,949.35,950.6,947.45,950.0,105792
59,2020-08-03 14:10:00,950.0,950.8,949.4,949.9,79415
