Count,Date,Open,High,Low,Close,Volume
0,2020-08-03 09:15:00,2051.3,2054.0,2035.0,2041.75,1986174
1,2020-08-03 09:30:00,2041.5,2046.6,2032.3,2039.0,1044597
2,2020-08-03 09:45:00,2039.1,2041.0,2026.7,2028.9,1051054
3,2020-08-03 10:00:00,2028.95,2031.35,2015.2,2018.5,1617555
4,2020-08-03 10:15:00,2018.2,2023.4,2009.0,2020.4,1655045
5,2020-08-03 10:30:00,2020.4,2027.0,2019.1,2025.5,739793
6,2020-08-03 10:45:00,2025.5,2029.7,2021.55,2027.9,541558
7,2020-08-03 11:00:00,2027.7,2030.0,2023.1,2024.7,404432
8,2020-08-03 11:15:00,2024.7,2037.0,2020.0,2033.45,1049526
9,2020-08-03 11:30:00,2033.65,2053.75,2032.0,2052.35,1244008
10,2020-08-03 11:45:00,2052.0,2057.0,2038.55,2041.6,1363476
11,2020-08-03 12:00:00,2042.05,2045.0,2036.0,2042.45,600642
12,2020-08-03 12:15:00,2042.95,2042.95,2032.0,2035.15,480562
13,2020-08-03 12:30:00,2035.1,2035.4,2028.25,2032.0,646254
14,2020-08-03 12:45:00,2032.0,2036.45,2030.0,2030.75,432340
15,2020-08-03 13:00:00,2030.25,2035.0,2030.0,2033.3,330330
16,2020-08-03 13:15:00,2032.65,2038.0,2032.35,2035.5,329554
17,2020-08-03 13:30:00,2035.5,2036.7,2031.0,2034.4,336165
18,2020-08-03 13:45:00,2035.0,2035.0,2025.0,2026.65,655206
19,2020-08-03 14:00:00,2027.0,2030.0,2021.0,2029.65,654606
20,2020-08-03 14:15:00,2029.5,2034.0,2025.0,2025.95,507975
21,2020-08-03 14:30:00,2026.85,2032.0,2023.0,2024.05,438004
22,2020-08-03 14:45:00,2023.6,2024.1,2018.0,2020.45,558415
23,2020-08-03 15:00:00,2020.5,2022.0,2003.95,2007.0,1737021
24,2020-08-03 15:15:00,2007.9,2010.0,2003.1,2007.0,1148422
25,2020-08-04 09:15:00,2020.6,2027.0,2000.25,2021.35,2421012
26,2020-08-04 09:30:00,2021.75,2044.0,2017.0,2038.85,1831807
27,2020-08-04 09:45:00,2039.0,2058.5,2038.05,2053.75,1835037
28,2020-08-04 10:00:00,2054.4,2055.0,2045.25,2053.9,1098495
29,2020-08-04 10:15:00,2053.6,2069.95,2049.35,2068.85,1660927
30,2020-08-04 10:30:00,2067.85,2074.9,2065.05,2070.95,1478663
31,2020-08-04 10:45:00,2071.0,2073.6,2065.05,2072.0,833079
32,2020-08-04 11:00:00,2072.0,2078.0,2068.0,2068.75,1020425
33,2020-08-04 11:15:00,2068.9,2084.9,2068.3,2082.8,1205594
34,2020-08-04 11:30:00,2082.55,2091.9,2081.25,2090.75,1317969
35,2020-08-04 11:45:00,2088.8,2092.0,2085.05,2088.1,1073529
36,2020-08-04 12:00:00,2088.6,2107.0,2085.25,2102.0,1969593
37,2020-08-04 12:15:00,2102.2,2109.7,2098.25,2106.5,1626875
38,2020-08-04 12:30:00,2106.6,2117.9,2104.15,2112.35,2205964
39,2020-08-04 12:45:00,2112.5,2121.7,2102.0,2105.5,2762279
40,2020-08-04 13:00:00,2105.0,2113.9,2097.15,2110.0,2023972
41,2020-08-04 13:15:00,2110.6,2112.0,2101.0,2106.0,1025888
42,2020-08-04 13:30:00,2105.5,2108.7,2102.4,2105.8,639249
43,2020-08-04 13:45:00,2105.3,2112.0,2104.0,2109.95,742682
44,2020-08-04 14:00:00,2109.65,2124.5,2109.0,2116.55,1445761
45,2020-08-04 14:15:00,2116.55,2122.0,2115.3,2120.9,1143177
